prickles	prickle
outdos	outdo
roll-overs	roll-over
bread-boards	bread-board
undervalues	undervalue
reins	rein
dowsers	dowser
orbited	orbit
gates	gate
poppets	poppet
altruisms	altruism
dittos	ditto
misrepresented	misrepresent
hermits	hermit
vetoing	veto
peewits	peewit
houseworks	housework
syllables	syllable
recapped	recap
dispelled	dispel
parches	parch
stalks	stalk
remanufactured	remanufacture
nuttiest	nutty
carbonised	carbonise
bubblier	bubbly
distillates	distillate
submodels	submodel
phrasebooks	phrasebook
hibernacula	hibernaculum
moaners	moaner
conserved	conserve
fullest	full
bided	bide
scotching	scotch
preheated	preheat
moldier	moldy
semis	semi
blasting	blast
leaked	leak
empties	empty
preconditioning	precondition
reconnects	reconnect
pupae	pupa
remonstrating	remonstrate
mentees	mentee
concussed	concuss
housing	house
disjoining	disjoin
caring	care
spikiest	spiky
buggies	buggy
taxiing	taxi
castrates	castrate
drowning	drown
dislodges	dislodge
leishmaniases	leishmaniasis
calibrates	calibrate
flattened	flatten
parasites	parasite
revolted	revolt
vistas	vista
underperforms	underperform
flailed	flail
acidifications	acidification
prating	prate
tie-ups	tie-up
neckties	necktie
courted	court
objectified	objectify
victimizations	victimization
modioli	modiolus
mark-ups	mark-up
adumbrated	adumbrate
flouting	flout
pretending	pretend
overlays	overlay
imputations	imputation
glistened	glisten
amahs	amah
duodenums	duodenum
hatchbacks	hatchback
anoxias	anoxia
piggybacking	piggyback
bewilders	bewilder
luciferases	luciferase
blurred	blur
discomfits	discomfit
depopulating	depopulate
flogged	flog
sandpapering	sandpaper
countering	counter
morphed	morph
minesweepers	minesweeper
bobs	bob
voyaging	voyage
corroborating	corroborate
flagstaves	flagstaff
rewording	reword
capitalizing	capitalize
dormitories	dormitory
coverages	coverage
macaques	macaque
aldosterones	aldosterone
limed	lime
atheromas	atheroma
epilogues	epilogue
deluded	delude
misapprehending	misapprehend
re-instated	re-instate
motorways	motorway
unbundled	unbundle
subdivides	subdivide
tollhouses	tollhouse
laughed	laugh
stealthiest	stealthy
neonates	neonate
underexposed	underexpose
boldnesses	boldness
glasses	glass
car-ferries	car-ferry
safer	safe
demonized	demonize
stomped	stomp
engendered	engender
blacksmiths	blacksmith
toxicities	toxicity
cageyer	cagey
timeframes	timeframe
corrugateds	corrugated
anti-fungals	anti-fungal
crunched	crunch
consultations	consultation
broadens	broaden
clitorises	clitoris
expanding	expand
infernos	inferno
minnows	minnow
adumbrating	adumbrate
disarmers	disarmer
traipsing	traipse
poodles	poodle
grants-in-aid	grant-in-aid
conferences	conference
exports	export
interwove	interweave
paranoiacs	paranoiac
positing	posit
scared	scare
dehumanizing	dehumanize
millimetres	millimetre
symbolizes	symbolize
grimiest	grimy
jerked	jerk
pallors	pallor
musings	musing
stovepipes	stovepipe
resizes	resize
sculptures	sculpture
disaccharides	disaccharide
bacons	bacon
payers	payer
termites	termite
afterglows	afterglow
tendinitides	tendinitis
licking	lick
pillaged	pillage
disinclines	disincline
oxidases	oxidase
embanks	embank
rehashes	rehash
outwards	outward
deep-frozen	deep-freeze
firmed	firm
instated	instate
trebles	treble
verbalised	verbalise
defending	defend
councillors	councillor
prepared	prepare
haemorrhaging	haemorrhage
fathomed	fathom
viscounts	viscount
pre-selecting	pre-select
rcs	rc
sonars	sonar
cooping	coop
twits	twit
leaderships	leadership
reversions	reversion
slayed	slay
yangs	yang
impracticalities	impracticality
unsticking	unstick
svs	sv
pleas	plea
reunifying	reunify
gynecologists	gynecologist
rects	rect
redesigned	redesign
women	woman
hobnobbed	hobnob
resampling	resample
gluconates	gluconate
exonerates	exonerate
geraniums	geranium
stills	still
mooned	moon
reformers	reformer
pre-schools	pre-school
bordered	border
shaggier	shaggy
rubbed	rub
quarts	quart
captors	captor
sleighs	sleigh
disenchantments	disenchantment
scriptoria	scriptorium
tangos	tango
timetabling	timetable
galaxies	galaxy
coagulations	coagulation
differentiating	differentiate
buzz-words	buzz-word
quantised	quantise
auxins	auxin
stallholders	stallholder
renewed	renew
biodegradations	biodegradation
superpositions	superposition
elytrons	elytron
tends	tend
gentlest	gentle
undersells	undersell
seashells	seashell
conservations	conservation
chlorhexidines	chlorhexidine
slimier	slimy
overturned	overturn
tricks	trick
unburdened	unburden
gobbling	gobble
accumulators	accumulator
blared	blare
ignores	ignore
serialised	serialise
worriers	worrier
mix-ups	mix-up
chorales	chorale
cantilevers	cantilever
actins	actin
questing	quest
curvier	curvy
hardiest	hardy
stringiest	stringy
petered	peter
externalisations	externalisation
bubbliest	bubbly
appraisers	appraiser
potentiates	potentiate
racecourses	racecourse
highest	high
supplicating	supplicate
wattages	wattage
orbiting	orbit
scruffiest	scruffy
consumes	consume
observables	observable
replayed	replay
coveting	covet
posits	posit
self-descriptions	self-description
drawdowns	drawdown
addictions	addiction
underbids	underbid
coconuts	coconut
bogged	bog
pies	pie
guest-rooms	guest-room
epistles	epistle
knighting	knight
shadier	shady
fireflies	firefly
polys	poly
building	build
concertinas	concertina
queasier	queasy
sunbursts	sunburst
refreezing	refreeze
indians	indian
warships	warship
pitons	piton
reinforcing	reinforce
startles	startle
granaries	granary
moorlands	moorland
crumbled	crumble
hives	hive
marinating	marinate
materializing	materialize
chippings	chipping
smelling	smell
ethiopians	ethiopian
expediting	expedite
wilted	wilt
oocysts	oocyst
connoting	connote
scribed	scribe
separations	separation
genotypings	genotyping
proponents	proponent
firmer	firm
stabilized	stabilize
airmailed	airmail
allowed	allow
organisms	organism
roadsigns	roadsign
drafts	draft
sobriquets	sobriquet
quadrats	quadrat
goalies	goalie
infrastructures	infrastructure
primed	prime
naysayers	naysayer
loves	love
barons	baron
bangers	banger
involving	involve
newspapers	newspaper
multi-members	multi-member
staked	stake
entomologies	entomology
dualities	duality
functioning	function
encumbering	encumber
astrocytes	astrocyte
waring	ware
embezzlements	embezzlement
goose-steps	goose-step
tannins	tannin
enoughs	enough
oozing	ooze
sticking	stick
pros	pro
tempi	tempo
prostatectomies	prostatectomy
contradicted	contradict
thimbles	thimble
swallows	swallow
jeopardised	jeopardise
wholesales	wholesale
punjabis	punjabi
cataloguing	catalogue
checkmating	checkmate
bloodsuckers	bloodsucker
epitopes	epitope
permanencies	permanency
headscarfs	headscarf
poured	pour
gentians	gentian
thromboses	thrombose
fights	fight
checked	check
idling	idle
misidentified	misidentify
derbies	derby
soft-tissues	soft-tissue
spurts	spurt
masculinities	masculinity
suckering	sucker
thrummed	thrum
pounds	pound
amines	amine
burbled	burble
trustees	trustee
paraesthesiae	paraesthesia
requests	request
oxbows	oxbow
back-combed	back-comb
unfastens	unfasten
repayments	repayment
encrypted	encrypt
frisking	frisk
flaunting	flaunt
bulls	bull
nerving	nerve
bothered	bother
cubists	cubist
ammonias	ammonia
bonfires	bonfire
honed	hone
miscarrying	miscarry
factorizations	factorization
nobbled	nobble
scraped	scrape
communiqués	communiqué
sacristies	sacristy
magnetised	magnetise
maladjustments	maladjustment
myelomata	myeloma
deselecting	deselect
presidents-elect	president-elect
controllabilities	controllability
mushroomed	mushroom
bartering	barter
discouragements	discouragement
expressionists	expressionist
galleons	galleon
larvae	larva
methodologists	methodologist
gouges	gouge
kindles	kindle
mobbed	mob
gobbles	gobble
bases	basis
milligrams	milligram
micrographs	micrograph
bulldozed	bulldoze
noblemen	nobleman
faders	fader
inquired	inquire
erupts	erupt
compositors	compositor
constructivists	constructivist
blessed	bless
outflanks	outflank
tints	tint
drains	drain
desiccates	desiccate
larded	lard
grumpier	grumpy
vilifies	vilify
admires	admire
fertilities	fertility
footballers	footballer
dialoged	dialog
reptiles	reptile
lexemes	lexeme
hockey-fields	hockey-field
marginalized	marginalize
anticlimaxes	anticlimax
rotatores	rotator
photographs	photograph
unbelievers	unbeliever
boxing	box
deadlier	deadly
solders	solder
idolatries	idolatry
mocked	mock
patriarchies	patriarchy
croquettes	croquette
mistypes	mistype
envisages	envisage
cheers	cheer
belied	bely
cctvs	cctv
hypocotyls	hypocotyl
inverters	inverter
adhering	adhere
helped	help
overworking	overwork
meshing	mesh
auditions	audition
tercentenaries	tercentenary
thawing	thaw
rucked	ruck
pareses	paresis
emphasises	emphasise
bosses	boss
squanders	squander
invs	inv
forbad	forbid
leisures	leisure
exercisers	exerciser
qualifying	qualify
silkscreens	silkscreen
degraded	degrade
straighter	straight
intoned	intone
overtraining	overtrain
telephotos	telephoto
superintends	superintend
isopropyls	isopropyl
dumber	dumb
faster-moving	fast-moving
antibacterials	antibacterial
hooted	hoot
relying	rely
fiant	fiat
forwarded	forward
magicked	magic
subwindows	subwindow
inflating	inflate
pylori	pylorus
linnets	linnet
trying	try
misunderstandings	misunderstanding
variegating	variegate
woodlands	woodland
disputations	disputation
computerized	computerize
logicians	logician
framing	frame
listeners	listener
bestirs	bestir
fattened	fatten
interests	interest
costumiers	costumier
procures	procure
ballasted	ballast
dares	dare
collapsed	collapse
knobbed	knob
conclusions	conclusion
crystallographies	crystallography
archbishops	archbishop
cartels	cartel
loafs	loaf
daredevils	daredevil
eliciting	elicit
solaced	solace
somas	soma
phones	phone
abdicated	abdicate
weigh-ins	weigh-in
self-medications	self-medication
gastroenterologists	gastroenterologist
limpets	limpet
upturning	upturn
restoratives	restorative
englishwomen	englishwoman
wastebaskets	wastebasket
pinch-hits	pinch-hit
roils	roil
championed	champion
crowed	crow
corks	cork
linearizing	linearize
mediums	medium
rivalries	rivalry
chained	chain
tals	tal
co-efficients	co-efficient
maharajas	maharaja
crewmen	crewman
venting	vent
misunderstanding	misunderstand
extortions	extortion
perking	perk
marooning	maroon
adopters	adopter
coyest	coy
stubbornest	stubborn
gaffes	gaffe
rechecking	recheck
selectors	selector
nestled	nestle
benchmarks	benchmark
pecked	peck
paralegals	paralegal
readinesses	readiness
presences	presence
re-engaging	re-engage
established	establish
scrimping	scrimp
hirers	hirer
over-stretched	over-stretch
repositioning	reposition
softnesses	softness
levels	level
recites	recite
surveys	survey
tallied	tally
lady-in-waitings	lady-in-waiting
riddling	riddle
feels	feel
grimes	grime
re-orientations	re-orientation
broaching	broach
fluidises	fluidise
tankards	tankard
volvuluses	volvulus
thought	think
capitals	capital
antipodes	antipode
moralised	moralise
bursts	burst
trackers	tracker
breadboards	breadboard
ogees	ogee
softens	soften
pcs	pc
paternosters	paternoster
engrains	engrain
zimbabweans	zimbabwean
mickeys	mickey
sating	sate
transfecting	transfect
generalists	generalist
buffing	buff
selecting	select
specialists	specialist
stepped	step
pipefishes	pipefish
re-starts	re-start
salts	salt
thirty-fifth	35
communed	commune
progenies	progeny
dematerialising	dematerialise
retardations	retardation
equinoxes	equinox
bedbugs	bedbug
internalising	internalise
sludges	sludge
bursars	bursar
conflicting	conflict
printshops	printshop
discredits	discredit
cursors	cursor
cordoned	cordon
foundations	foundation
overwrote	overwrite
irreversibilities	irreversibility
neuroendocrines	neuroendocrine
perfidies	perfidy
deadlocked	deadlock
suppositories	suppository
cleaving	cleave
predictions	prediction
inmates	inmate
flycatchers	flycatcher
readmitted	readmit
massacres	massacre
toilet-trains	toilet-train
externalizes	externalize
wolves	wolf
sequins	sequin
earners	earner
blotchier	blotchy
rowboats	rowboat
hiccupping	hiccup
pinecones	pinecone
sweeteners	sweetener
simulated	simulate
canoeing	canoe
vaunted	vaunt
aneurysms	aneurysm
contemplations	contemplation
spankings	spanking
jargons	jargon
disfranchised	disfranchise
spooned	spoon
tubers	tuber
graffiti	graffito
rejigging	rejig
breathalyzed	breathalyze
parameters	parameter
ulcerations	ulceration
thirty-seconds	thirty-second
reconnoitred	reconnoitre
playwrights	playwright
losers	loser
aramids	aramid
bloodthirstier	bloodthirsty
glycerols	glycerol
wishbones	wishbone
cluing	clue
diluting	dilute
polyps	polyp
moseying	mosey
lordships	lordship
immunogenicities	immunogenicity
enduring	endure
tabulates	tabulate
sidewalks	sidewalk
wailed	wail
forced	force
charms	charm
chattels	chattel
advertizing	advertize
jeopardises	jeopardise
greyest	grey
couching	couch
overawed	overawe
recruiters	recruiter
self-harming	self-harm
justifications	justification
contestants	contestant
debilitates	debilitate
redoing	redo
seems	seem
quads	quad
deodorising	deodorise
autografts	autograft
sweetbreads	sweetbread
run-offs	run-off
wearying	weary
re-confirmed	re-confirm
farmed	farm
climb-downs	climb-down
probits	probit
packs	pack
biotins	biotin
pistols	pistol
shamans	shaman
toughnesses	toughness
outs	out
precludes	preclude
designating	designate
dangled	dangle
illuminations	illumination
pygmies	pygmy
lavenders	lavender
sixty-seventh	67
genes	gene
relabeling	relabel
detonated	detonate
triumphs	triumph
panting	pant
perforated	perforate
grapples	grapple
inactivates	inactivate
apoplexies	apoplexy
kroner	krone
lumina	lumen
blunders	blunder
mealiest	mealy
heuristics	heuristic
bishops	bishop
barred	bar
tickers	ticker
viewing	view
longer-lived	long-lived
seconds	second
whiskeys	whiskey
petrifies	petrify
homages	homage
constructs	construct
diffused	diffuse
gravities	gravity
trades	trade
lamented	lament
barbers	barber
contradicting	contradict
sterns	stern
externalised	externalise
toppers	topper
mid-terms	mid-term
proportions	proportion
reframes	reframe
presuppositions	presupposition
corollas	corolla
play-acted	play-act
emailed	email
infusions	infusion
surfaced	surface
eerier	eerie
anaesthetists	anaesthetist
grammarians	grammarian
laziest	lazy
railroads	railroad
externalizing	externalize
swilled	swill
approved	approve
shoplifters	shoplifter
dehumidifying	dehumidify
curving	curve
pleated	pleat
doss-houses	doss-house
gigawatts	gigawatt
half-lifes	half-life
bottomed	bottom
phonographs	phonograph
foreheads	forehead
misspent	misspend
canaries	canary
readiest	ready
clauses	clause
misalignments	misalignment
immunocompromised	immunocompromise
polyphenols	polyphenol
microanalyses	microanalysis
footmarks	footmark
obliterates	obliterate
readerships	readership
re-awakened	re-awaken
halters	halter
despising	despise
hitchhikers	hitchhiker
impugned	impugn
winded	wind
superintendents	superintendent
typefaces	typeface
promulgates	promulgate
orthotics	orthotic
subtends	subtend
seared	sear
nos	no
canonized	canonize
re-deployments	re-deployment
turncoats	turncoat
benchmarked	benchmark
convolved	convolve
oversights	oversight
idealists	idealist
superconductors	superconductor
combustibles	combustible
hassocks	hassock
overlain	overlie
nightlights	nightlight
prissier	prissy
ice-buckets	ice-bucket
proved	prove
cavaliers	cavalier
brutes	brute
entrained	entrain
externalities	externality
transits	transit
trawled	trawl
twitching	twitch
jet-lags	jet-lag
leftists	leftist
summonses	summons
corners	corner
routed	route
vasopressins	vasopressin
jigsawing	jigsaw
additives	additive
heroins	heroin
compounding	compound
re-inforced	re-inforce
deplored	deplore
twittering	twitter
oleoresins	oleoresin
unzipped	unzip
abases	abase
victualling	victual
expressways	expressway
pallets	pallet
cauldrons	cauldron
calcined	calcine
watermen	waterman
curling	curl
accusations	accusation
electronics	electronic
sympathising	sympathise
intercrosses	intercross
stelae	stela
centromeres	centromere
conjunctivas	conjunctiva
abaci	abacus
trimesters	trimester
scudding	scud
housetraining	housetrain
market-places	market-place
conclaves	conclave
scrupling	scruple
disconnections	disconnection
chanciest	chancy
hides	hide
interleukins	interleukin
flukes	fluke
fronting	front
shouts	shout
extenders	extender
overarches	overarch
mantles	mantle
enzymes	enzyme
specialising	specialise
chambermaids	chambermaid
lps	lp
rethinking	rethink
rhapsodizes	rhapsodize
day-trips	day-trip
developes	develope
urinating	urinate
bred	breed
ploys	ploy
pitched	pitch
reinscribes	reinscribe
tapping	tap
mooted	moot
reinserted	reinsert
hurricanes	hurricane
over-emphases	over-emphasis
worths	worth
tetrameters	tetrameter
recapping	recap
butts	butt
wasting	waste
glucocorticoids	glucocorticoid
attributes	attribute
voluntaries	voluntary
prothrombins	prothrombin
ventilations	ventilation
surprised	surprise
dozed	doze
toiletries	toiletry
proclamations	proclamation
zapping	zap
sunbathes	sunbathe
memos	memo
ensuring	ensure
cubes	cube
dismembers	dismember
toggled	toggle
lordlier	lordly
record-breakers	record-breaker
pronounced	pronounce
quills	quill
blossomed	blossom
cripples	cripple
assizes	assize
gnomes	gnome
workforces	workforce
reconstitutions	reconstitution
proctors	proctor
metropolitans	metropolitan
caesars	caesar
rejigs	rejig
window-panes	window-pane
televiewers	televiewer
sixteenth	16
shooters	shooter
shimmied	shimmy
classifications	classification
isocyanates	isocyanate
re-exporting	re-export
countermeasures	countermeasure
oboists	oboist
fiances	fiance
babyhoods	babyhood
planked	plank
pipelines	pipeline
undraws	undraw
escapologists	escapologist
reemerging	reemerge
drunkest	drunk
photometries	photometry
lineups	lineup
violists	violist
overhauls	overhaul
invalidated	invalidate
ravelling	ravel
laughing	laugh
interpretations	interpretation
blacklegs	blackleg
entangles	entangle
bayonetting	bayonet
titfers	titfer
commutes	commute
breakers	breaker
grandstands	grandstand
realized	realize
decrypting	decrypt
lovesongs	lovesong
definitions	definition
sadists	sadist
hazelnuts	hazelnut
facsimiles	facsimile
bedheads	bedhead
misdemeanours	misdemeanour
homologates	homologate
remarriages	remarriage
youths	youth
dispersals	dispersal
flunkies	flunky
self-completions	self-completion
loafers	loafer
ticketed	ticket
eared	ear
hunches	hunch
kats	kat
perplexities	perplexity
discontenting	discontent
orang-utans	orang-utan
enraptures	enrapture
tramps	tramp
waiting	wait
cholecystectomies	cholecystectomy
electroplating	electroplate
scams	scam
foamiest	foamy
eternities	eternity
bedsides	bedside
ticked	tick
authorized	authorize
pushier	pushy
stencilled	stencil
teleporting	teleport
defrauds	defraud
reuniting	reunite
publishes	publish
mistimes	mistime
marries	marry
stamens	stamen
reconquered	reconquer
negativities	negativity
fidgets	fidget
shuffling	shuffle
complicated	complicate
acknowledged	acknowledge
synonymies	synonymy
palisading	palisade
staffing	staff
freethinkers	freethinker
slashers	slasher
inscribes	inscribe
bisections	bisection
outstripping	outstrip
magmas	magma
betaken	betake
adjusters	adjuster
tutors	tutor
macrophages	macrophage
bahrainis	bahraini
roller-coasters	roller-coaster
wens	wen
toasters	toaster
mismatching	mismatch
bankruptcies	bankruptcy
multipliers	multiplier
asterisked	asterisk
eagles	eagle
personalises	personalise
bumbles	bumble
typhoons	typhoon
thingamabobs	thingamabob
downier	downy
surcharges	surcharge
bangs	bang
perfusing	perfuse
crowding	crowd
grins	grin
transfects	transfect
in-patients	in-patient
scowled	scowl
editorializes	editorialize
moseys	mosey
crusts	crust
tackles	tackle
psyched	psych
bedeviling	bedevil
forerunners	forerunner
speedways	speedway
briquettes	briquette
fighting	fight
physiotherapists	physiotherapist
spooning	spoon
houseboys	houseboy
sunspots	sunspot
choirs	choir
radicles	radicle
oligodendrocytes	oligodendrocyte
also	conjurer
eligibles	eligible
delphiniums	delphinium
sparer	spare
teleported	teleport
blacking	black
prophecies	prophecy
advocated	advocate
overwinters	overwinter
arterioscleroses	arteriosclerosis
floweriest	flowery
linearised	linearise
educationists	educationist
graphs	graph
incasing	incase
bickering	bicker
carotenes	carotene
trolling	troll
spoonfuls	spoonful
marmots	marmot
ghostwriting	ghostwrite
occupying	occupy
varies	vary
gathering	gather
keenest	keen
coached	coach
volunteering	volunteer
fetishisms	fetishism
combines	combine
wire-tapped	wire-tap
unfortunates	unfortunate
endeavored	endeavor
bits	bit
seamier	seamy
curators	curator
glueing	glue
flysheets	flysheet
sandwiches	sandwich
quilts	quilt
spin-dried	spin-dry
tutelages	tutelage
entrees	entree
introjects	introject
stimuli	stimulus
examinations	examination
troglodytes	troglodyte
promoted	promote
collapses	collapse
backstrokes	backstroke
proportioned	proportion
mimeographed	mimeograph
neuropeptides	neuropeptide
docketed	docket
escalated	escalate
dunks	dunk
dispersing	disperse
sensitizing	sensitize
goutier	gouty
motivated	motivate
nosey-parkers	nosey-parker
whetting	whet
salaaming	salaam
hassled	hassle
dots	dot
sulked	sulk
stultified	stultify
schistosomes	schistosome
extolling	extol
criminalised	criminalise
devotees	devotee
tonifies	tonify
frogs	frog
emphases	emphasis
overhearing	overhear
labouring	labour
lightest	light
smallishest	smallish
impugning	impugn
simultaneities	simultaneity
positrons	positron
trapezoids	trapezoid
speedboats	speedboat
saturates	saturate
conversed	converse
begun	begin
chauffeuring	chauffeur
shucks	shuck
cognates	cognate
platypuses	platypus
crushed	crush
strives	strive
hypochondrias	hypochondria
hands	hand
grassiest	grassy
impaled	impale
blurting	blurt
uncorked	uncork
elevating	elevate
gladdening	gladden
bookmarking	bookmark
decanters	decanter
barbershops	barbershop
re-orientates	re-orientate
cents	cent
doorposts	doorpost
elbowing	elbow
hairdos	hairdo
automats	automat
participates	participate
constraints	constraint
overestimating	overestimate
excluding	exclude
bouncers	bouncer
worst	ill
synthesizers	synthesizer
gotten	get
dimmed	dim
swatting	swat
seawaters	seawater
squabs	squab
holidaymakers	holidaymaker
intubations	intubation
pariahs	pariah
bribes	bribe
behaving	behave
letterheads	letterhead
synthesises	synthesise
repacked	repack
feared	fear
re-examined	re-examine
authorities	authority
jalapenos	jalapeno
poofs	poof
siblings	sibling
softening	soften
recovering	recover
multitudes	multitude
harlequins	harlequin
rosier	rosy
bricked	brick
beta-carotenes	beta-carotene
timepoints	timepoint
booked	book
evasions	evasion
siskins	siskin
loaders	loader
destructed	destruct
re-roofed	re-roof
categorizes	categorize
plexuses	plexus
freezing	freeze
dxs	dx
champs	champ
moyens	moyen
recrystallisations	recrystallisation
behinds	behind
conjugated	conjugate
maltreats	maltreat
peers	peer
warranted	warrant
parachutes	parachute
hyponatraemias	hyponatraemia
pursing	purse
spastics	spastic
crematoriums	crematorium
worthiest	worthy
afforded	afford
lades	lade
panniers	pannier
smacking	smack
ice-breakers	ice-breaker
honing	hone
lilts	lilt
recounting	recount
hickories	hickory
goose-stepped	goose-step
dissolved	dissolve
cokes	coke
moisturising	moisturise
misdone	misdo
precursors	precursor
overcharged	overcharge
msecs	msec
descants	descant
toggles	toggle
chillers	chiller
disliking	dislike
dexterities	dexterity
infinitives	infinitive
re-equips	re-equip
carpeted	carpet
illustrated	illustrate
enunciations	enunciation
marauded	maraud
caravaning	caravan
stomas	stoma
irruptions	irruption
voltmeters	voltmeter
sub-structures	sub-structure
compères	compère
overflights	overflight
latins	latin
hollowest	hollow
lecterns	lectern
metrics	metric
blonder	blond
constitutionals	constitutional
predetermining	predetermine
sprinkling	sprinkle
exhausting	exhaust
superchargers	supercharger
aquariuses	aquarius
re-states	re-state
back-combs	back-comb
creameries	creamery
tabulations	tabulation
unfreezes	unfreeze
zeolites	zeolite
reserved	reserve
inheres	inhere
introducers	introducer
biopharmaceuticals	biopharmaceutical
cleansings	cleansing
acetazolamides	acetazolamide
proof-reader	proofreader
treats	treat
blasphemed	blaspheme
repacks	repack
complementarities	complementarity
wanks	wank
increments	increment
mousetraps	mousetrap
heretics	heretic
plumping	plump
angstroms	angstrom
scrummaging	scrummage
drew	draw
ladles	ladle
huds	hud
curies	curie
fraying	fray
apostles	apostle
perpetrated	perpetrate
tenderer	tender
armpits	armpit
criminalized	criminalize
debarking	debark
infiltrators	infiltrator
browner	brown
embanking	embank
meshes	mesh
re-typing	re-type
partaken	partake
apportioned	apportion
staring	stare
mournings	mourning
partakes	partake
sated	sate
fleecier	fleecy
fantasias	fantasia
ballasts	ballast
exercise-books	exercise-book
striking	strike
eavesdroppers	eavesdropper
portions	portion
hustlers	hustler
spottiest	spotty
mementoes	memento
minibusses	minibus
tunes	tune
clambering	clamber
ethnographers	ethnographer
lifeguards	lifeguard
cued	cue
hovels	hovel
reconstitutes	reconstitute
coughs	cough
gating	gate
sanctions	sanction
leasing	lease
humps	hump
intrigues	intrigue
noticed	notice
mumbling	mumble
inessentials	inessential
cohesions	cohesion
potties	potty
lebaneses	lebanese
denominations	denomination
mouthpieces	mouthpiece
maniacs	maniac
withholding	withhold
dongs	dong
electives	elective
musks	musk
combatting	combat
microfilters	microfilter
tackling	tackle
gestapos	gestapo
worklists	worklist
over-burdened	over-burden
proclaimed	proclaim
palling	pal
craggiest	craggy
drawled	drawl
sharers	sharer
goodest	good
mascaras	mascara
nepalis	nepali
trekkers	trekker
performed	perform
wetsuits	wetsuit
gayest	gay
ws	w
garters	garter
whispering	whisper
goings-over	going-over
re-filling	re-fill
pre-defines	pre-define
variabilities	variability
reconverts	reconvert
scarier	scary
villas	villa
colonies	colony
turkeys	turkey
boas	boa
creaking	creak
diameters	diameter
interlined	interline
diversifications	diversification
martinis	martini
tabulated	tabulate
ampoules	ampoule
cowpats	cowpat
brays	bray
hoariest	hoary
emporia	emporium
vomits	vomit
presentments	presentment
cirri	cirrus
aggregated	aggregate
polymaths	polymath
narcissisms	narcissism
parasitised	parasitise
empowered	empower
deserts	desert
preferred	prefer
sensitised	sensitise
weighed	weigh
togs	tog
overextensions	overextension
annihilating	annihilate
relating	relate
modularised	modularise
legitimates	legitimate
unbalancing	unbalance
stop-pressing	stop-press
academicians	academician
scorches	scorch
openings	opening
detentions	detention
hs	h
lay-bies	lay-by
zoospores	zoospore
serenaded	serenade
nitrites	nitrite
larked	lark
popularizing	popularize
airplanes	airplane
generalizing	generalize
hyperbolas	hyperbola
dynamometers	dynamometer
questioners	questioner
fetlocks	fetlock
taunting	taunt
eighty-fifth	85
fragmentations	fragmentation
clenches	clench
weighting	weight
co-existences	co-existence
chilled	chill
thudding	thud
demilitarizes	demilitarize
bowels	bowel
concords	concord
disrobing	disrobe
composes	compose
obscurer	obscure
clerked	clerk
nominalists	nominalist
libidos	libido
pre-tests	pre-test
medulloblastomas	medulloblastoma
overflies	overfly
lintels	lintel
idiosyncrasies	idiosyncrasy
warrantees	warrantee
poops	poop
deodorizing	deodorize
unearths	unearth
sympathizing	sympathize
bedlams	bedlam
self-destructed	self-destruct
foramina	foramen
omnibusses	omnibus
anthems	anthem
underreported	underreport
furriers	furrier
reintroductions	reintroduction
enveloping	envelop
groceries	grocery
normalises	normalise
splices	splice
mosquitoes	mosquito
permeabilities	permeability
geomorphologists	geomorphologist
desisting	desist
kolas	kola
re-directed	re-direct
garbing	garb
monetizes	monetize
sleepwalked	sleepwalk
sub-divided	sub-divide
overstating	overstate
debited	debit
intubating	intubate
bantering	banter
repertories	repertory
bullets	bullet
flyers	flyer
one-steps	one-step
mons	mon
slier	sly
prototyping	prototype
attaches	attache
protons	proton
barring	bar
famines	famine
compactest	compact
water-closets	water-closet
cottonseeds	cottonseed
isles	isle
plateaued	plateau
bigamies	bigamy
chloramines	chloramine
intercepting	intercept
trollies	trolly
marveling	marvel
submersions	submersion
sentencing	sentence
vocals	vocal
colchicines	colchicine
hyperactivities	hyperactivity
disposals	disposal
yellowest	yellow
grouped	group
neuropsychologists	neuropsychologist
cremating	cremate
pored	pore
muzzier	muzzy
nephews	nephew
porticos	portico
disproofs	disproof
walruses	walrus
itchiest	itchy
catalogs	catalog
remainders	remainder
successes	success
snaffled	snaffle
deranged	derange
transponders	transponder
duplications	duplication
retrogrades	retrograde
academies	academy
smoothest	smooth
irises	iris
demolishing	demolish
typewritten	typewrite
insulations	insulation
armies	army
re-forming	re-form
busier	busy
adhered	adhere
whackings	whacking
sobered	sober
hogged	hog
seductions	seduction
provosts	provost
restorations	restoration
tangoing	tango
chevrons	chevron
fishing	fish
reconfigurations	reconfiguration
sprucing	spruce
ears	ear
treasures	treasure
galvanised	galvanise
vitrifies	vitrify
worrying	worry
grandfathering	grandfather
fund-raisers	fund-raiser
troubleshoots	troubleshoot
asps	asp
dugouts	dugout
scanter	scant
nanoseconds	nanosecond
bulgarians	bulgarian
tensed	tense
lips	lip
floods	flood
pressed	press
rapiers	rapier
devouter	devout
subprograms	subprogram
re-introduced	re-introduce
datasets	dataset
coarsening	coarsen
trivialising	trivialise
alveoli	alveolus
descriptors	descriptor
re-roofs	re-roof
gulls	gull
civilians	civilian
refinancing	refinance
weathering	weather
magnets	magnet
marketeers	marketeer
aquae	aqua
goose-stepping	goose-step
pommeled	pommel
skiers	skier
nt	not
re-counting	re-count
metallurgies	metallurgy
calcites	calcite
fecundities	fecundity
corner-stones	corner-stone
rhapsodies	rhapsody
super-powers	super-power
